nome_cliente_22;codice_articolo_22;articolo_colore_22;unità_di_misura_22;quantita_22;imponibile_22
DUBLO SRL;PF001167/200K661023;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - VERDE BOTTIGLIA 193;KG;61,8800001144409;1202,44
DUBLO SRL;PF001167/200K661025;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - FUCSIA 285;KG;38,9099998474121;774,3
DUBLO SRL;PF001167/200K661026;67/20 LISCIO VOILE RIT 450 GIRI PA 66 - GRIGIO MEDIO 084/2020;KG;158,120000600815;3097,06
DUBLO SRL;PF0011784620XEX1001;78/46/2 ELAS RIT FLEXI PA 66 - BLEU 051;KG;43,4900007247925;826,31
DUBLO SRL;PR00110010;;;0;935,73
DUBLO SRL;PR00110019;;;0;4,83
FACI di Falzoni Luigi & C. SNC;;;NR;;290,23
FACI di Falzoni Luigi & C. SNC;;;;;
FACI di Falzoni Luigi & C. SNC;PF0026040/20XFL1024;40/2 ELAS RIT FLEXY PA 6 - POUDRE 2014;KG;99,2100009918213;1622,1
FACI di Falzoni Luigi & C. SNC;PF0026070/20XFL1024;70/2 ELAS RIT FLEXY PA 6 - POUDRE 2014;KG;98,5799980163574;1271,68
FACI di Falzoni Luigi & C. SNC;PF0026LUC700XP61000;70 LUCIDO RIT PA 6 - CANDIDO;KG;358,550000786781;7133,39
FACI di Falzoni Luigi & C. SNC;PF0026LUC700XP61008;70 LUCIDO RIT PA 6 - NERO;KG;206,200000286102;3684,77
FACI di Falzoni Luigi & C. SNC;PR00260001;;;0;296,69
FACI di Falzoni Luigi & C. SNC;PR00260007;;;0;40,18
GEMTEX SRL;;;;;
GEMTEX SRL;PF0028070/20XP61036;70/2 ELAS RIT PA 6 - GRIGIO CHIARO 18;KG;49,7699997425079;505,16
GEMTEX SRL;PF0028070/20XP61071;70/2 ELAS RIT PA 6 - BLUETTE 98;KG;51,5500009059906;556,74
GEMTEX SRL;PF0028070/20XP61080;70/2 ELAS RIT PA 6 - BLUETTE N. 175;KG;51,7899997234344;559,33
GEMTEX SRL;PF0028070/20XP61086;70/2 ELAS RIT PA 6 - NOCE SCURO N.100;KG;1,04999995231628;30
GEMTEX SRL;PF0028070/20XP61087;70/2 ELAS RIT PA 6 - MARRONE N.99;KG;1,04999995231628;30
MICO SPORT SPA;;;NR;1;-7983,49
MICO SPORT SPA;;;KG;194,619995594025;-3442,48
MICO SPORT SPA;;;nr;;-2635,32
MICO SPORT SPA;;;N;;-2433,85
MICO SPORT SPA;;;1;;-548,74
MICO SPORT SPA;;;;0;0
MICO SPORT SPA;PF0034040/10A661122;40/1 ELAS APE PA 66 - GRIGIO 1811;KG;48,3700001239777;725,55
MICO SPORT SPA;PF0034040/20XEX1004;40/2 ELAS RIT FLEXI PA 66 - GRAFITE 9240;KG;80,2499995231628;1167,64
MICO SPORT SPA;PF0034040/20XEX1015;40/2 ELAS RIT FLEXI PA 66 - GRIGIO M;KG;68,0999994277954;990,86
MICO SPORT SPA;PF0034040/20XEX1020;40/2 ELAS RIT FLEXI PA 66 - GRIGIO PELTRO;KG;80,6999988555908;1259,95
MICO SPORT SPA;PF0034040/20XEX1032;40/2 ELAS RIT FLEXI PA 66 - GRIGIO 431/C;KG;74,210000038147;1079,75
MICO SPORT SPA;PF0034040/20XEX1034;40/2 ELAS RIT FLEXI PA 66 - AZZURRO 05;KG;35,6199998855591;553,89
MICO SPORT SPA;PF0034040/20XEX1044;40/2 ELAS RIT FLEXI PA 66 - GIALLO FLUO;KG;39,5099992752075;574,88
MICO SPORT SPA;PF0034040/20XEX1081;40/2 ELAS RIT FLEXI PA 66 - GARDENIA 13;KG;98,1000003814697;1509,08
MICO SPORT SPA;PF0034040/20XEX1107;40/2 ELAS RIT FLEXI PA 66 - BLUETTE 9086;KG;53,2599997520447;774,94
MICO SPORT SPA;PF0034040/20XEX1113;40/2 ELAS RIT FLEXI PA 66 - PRINCESS 18;KG;88,9000008106232;1377,61
MICO SPORT SPA;PF0034070/20XEX1004;70/2 ELAS RIT FLEXI PA 66 - GRAFITE 9240;KG;82,3300004005432;1001,78
MICO SPORT SPA;PF0034070/20XEX1006;70/2 ELAS RIT FLEXI PA 66 - FUMO 107;KG;145,640000343323;1680,06
MICO SPORT SPA;PF0034070/20XEX1010;70/2 ELAS RIT FLEXI PA 66 - ROSSO 003;KG;36,5899996757507;482,99
MICO SPORT SPA;PF0034070/20XEX1015;70/2 ELAS RIT FLEXI PA 66 - GRIGIO M;KG;247,620001316071;3231,32
MICO SPORT SPA;PF0034070/20XEX1019;70/2 ELAS RIT FLEXI PA 66 - ARGENTO 4;KG;42,8799991607666;566,01
MICO SPORT SPA;PF0034070/20XEX1020;70/2 ELAS RIT FLEXI PA 66 - GRIGIO PELTRO;KG;40,6499996185303;451,22
MICO SPORT SPA;PF0034070/20XEX1023;70/2 ELAS RIT FLEXI PA 66 - MUSCHIO;KG;39,4900004863739;438,35
MICO SPORT SPA;PF0034070/20XEX1033;70/2 ELAS RIT FLEXI PA 66 - VERDE ARMY;KG;200,729999065399;2465,52
MICO SPORT SPA;PF0034070/20XEX1034;70/2 ELAS RIT FLEXI PA 66 - AZZURRO 05;KG;191,249999523163;2310,24
MICO SPORT SPA;PF0034070/20XEX1044;70/2 ELAS RIT FLEXI PA 66 - GIALLO FLUO;KG;42,2699997425079;629,82
MICO SPORT SPA;PF0034070/20XEX1072;70/2 ELAS RIT FLEXI PA 66 - FUXIA FLUO;KG;42,8800001144409;475,97
MICO SPORT SPA;PF0034070/20XEX1081;70/2 ELAS RIT FLEXI PA 66 - GARDENIA 13;KG;265,970000982285;3432,41
MICO SPORT SPA;PF0034070/20XEX1091;70/2 ELAS RIT FLEXI PA 66 - VERDE 15;KG;39,8599997758865;526,16
MICO SPORT SPA;PF0034070/20XEX1093;70/2 ELAS RIT FLEXI PA 66 - FUXIA 15;KG;42;554,4
MICO SPORT SPA;PF0034070/20XEX1107;70/2 ELAS RIT FLEXI PA 66 - BLUETTE 9086;KG;167,780001163483;2154,71
MICO SPORT SPA;PF0034070/20XEX1113;70/2 ELAS RIT FLEXI PA 66 - PRINCESS 18;KG;213,750001907349;2560,66
MICO SPORT SPA;PF0034070/20XEX1123;70/2 ELAS RIT FLEXI PA 66 - BLU 2922;KG;83,9400005340576;1191,58
MICO SPORT SPA;PF0034070/20XEX1134;70/2 ELAS RIT FLEXI PA 66 - OTTANIO 06;KG;82,5899994373322;1161,76
MICO SPORT SPA;PF0034100/20XEX1004;100/2 ELAS RIT FLEXI PA 66 - GRAFITE 9240;KG;233,630000591278;2856,56
MICO SPORT SPA;PF0034100/20XEX1010;100/2 ELAS RIT FLEXI PA 66 - ROSSO 003;KG;199,790001869202;2497,12
MICO SPORT SPA;PF0034100/20XEX1011;100/2 ELAS RIT FLEXI PA 66 - GRIGIO 2360;KG;82,0100011825562;1078,24
MICO SPORT SPA;PF0034100/20XEX1015;100/2 ELAS RIT FLEXI PA 66 - GRIGIO M;KG;365,569999694824;4771,79
MICO SPORT SPA;PF0034100/20XEX1020;100/2 ELAS RIT FLEXI PA 66 - GRIGIO PELTRO;KG;393,810001373291;5004,1
MICO SPORT SPA;PF0034100/20XEX1022;100/2 ELAS RIT FLEXI PA 66 - GRIGIO CAMP;KG;120,020000457764;1623,3
MICO SPORT SPA;PF0034100/20XEX1027;100/2 ELAS RIT FLEXI PA 66 - PAVONE 071;KG;37,4900002479553;506,12
MICO SPORT SPA;PF0034100/20XEX1032;100/2 ELAS RIT FLEXI PA 66 - GRIGIO 431/C;KG;166,379999637604;2137,38
MICO SPORT SPA;PF0034100/20XEX1044;100/2 ELAS RIT FLEXI PA 66 - GIALLO FLUO;KG;747,590003728867;9561,88
MICO SPORT SPA;PF0034100/20XEX1047;100/2 ELAS RIT FLEXI PA 66 - ARANCIO 10;KG;43,3200001716614;493,85
MICO SPORT SPA;PF0034100/20XEX1072;100/2 ELAS RIT FLEXI PA 66 - FUXIA FLUO;KG;149,240000009537;1967,11
MICO SPORT SPA;PF0034100/20XEX1074;100/2 ELAS RIT FLEXI PA 66 - VERDE FLUO;KG;199,579998970032;2569,78
MICO SPORT SPA;PF0034100/20XEX1086;100/2 ELAS RIT FLEXI PA 66 - MILITARE 14;KG;41,75;475,95
MICO SPORT SPA;PF0034100/20XEX1088;100/2 ELAS RIT FLEXI PA 66 - GINGER 14;KG;37,2799997329712;446,55
MICO SPORT SPA;PF0034100/20XEX1090;100/2 ELAS RIT FLEXI PA 66 - TURCHESE 15;KG;68,6799993515015;982,94
MICO SPORT SPA;PF0034100/20XEX1093;100/2 ELAS RIT FLEXI PA 66 - FUXIA 15;KG;105,099998652935;1336,91
MICO SPORT SPA;PF0034100/20XEX1104;100/2 ELAS RIT FLEXI PA 66 - ARANCIO 16;KG;35,7600002288818;482,76
MICO SPORT SPA;PF0034100/20XEX1107;100/2 ELAS RIT FLEXI PA 66 - BLUETTE 9086;KG;159,810000896454;2021,32
MICO SPORT SPA;PF0034100/20XEX1123;100/2 ELAS RIT FLEXI PA 66 - BLU 2922;KG;73,3600001335144;1041,72
MICO SPORT SPA;PF0034227010A661004;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - GRAFITE 9240;KG;32,120000064373;598,72
MICO SPORT SPA;PF0034227010A661033;LYCRA+PA66 (22+ 078 TINTO) 85 DTX - VERDE ARMY;KG;30,9700000286102;603,92
MICO SPORT SPA;PF0034444020IEX1001;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - NERO;KG;132,230000734329;3174,26
MICO SPORT SPA;PF0034444020IEX1017;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - CANDIDO;KG;134,349999904633;3256,59
MICO SPORT SPA;PF0034444020IEX1124;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - UNIFORM SAND 15-0751;KG;20,9500007629395;510,49
MICO SPORT SPA;PF0034444020IEX1125;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - FIREBALL 17-1564 TCX;KG;52,6300005912781;1302,11
MICO SPORT SPA;PF0034444020IEX1126;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - PROCESS PINK 18-2143 TCX;KG;25,3499997854233;620,42
MICO SPORT SPA;PF0034444020IEX1127;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - UTILITY GREEN 19-0419 TCX;KG;86,4400007724762;2158,23
MICO SPORT SPA;PF0034444020IEX1128;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - PROCESS PURPLE 19-2428 TCX;KG;54,4499998092651;1347,47
MICO SPORT SPA;PF0034444020IEX1129;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - ULTRAMARINE 19-3952 TCX;KG;40,5699996948242;1001,09
MICO SPORT SPA;PF0034444020IEX1130;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - ORBIT BLU 19-3923 TCX;KG;41,9300003051758;1038,95
MICO SPORT SPA;PF0034444020IEX1131;44/40/2 QNOVA GRS 60 INT. FLEXI PA 66 - GIALLO TN SAFETY FLUO 13-0630 TCX;KG;61,3100004196167;1519,32
MICO SPORT SPA;PF0034786020LEX1001;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - NERO;KG;425,600000858307;8677,88
MICO SPORT SPA;PF0034786020LEX1017;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - CANDIDO;KG;366,950001716614;7768,36
MICO SPORT SPA;PF0034786020LEX1124;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - UNIFORM SAND 15-0751;KG;55,0500001907349;1162,44
MICO SPORT SPA;PF0034786020LEX1125;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - FIREBALL 17-1564 TCX;KG;150,109999656677;3227,9
MICO SPORT SPA;PF0034786020LEX1126;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - PROCESS PINK 18-2143 TCX;KG;48,8800001144409;1019,12
MICO SPORT SPA;PF0034786020LEX1127;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - UTILITY GREEN 19-0419 TCX;KG;190,140001773834;4119,74
MICO SPORT SPA;PF0034786020LEX1128;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - PROCESS PURPLE 19-2428 TCX;KG;101,860000252724;2182,17
MICO SPORT SPA;PF0034786020LEX1129;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - ULTRAMARINE 19-3952 TCX;KG;67,6300013065338;1427,74
MICO SPORT SPA;PF0034786020LEX1130;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - ORBIT BLU 19-3923 TCX;KG;96,2399995326996;2068,54
MICO SPORT SPA;PF0034786020LEX1131;78/60/2 QNOVA LEG.INTERL FLEXI GRS 60 PA 66 - GIALLO TN SAFETY FLUO 13-0630 TCX;KG;148,180000305176;3189,38
MICO SPORT SPA;PF003478QSK0IEX1000;78/68/2 QSKIN INT. FLEXI PA 66 - NERO;KG;41,5699996948242;831,4
MICO SPORT SPA;PF003478QSK0IEX1133;78/68/2 QSKIN INT. FLEXI PA 66 - 19-4324 TPX;KG;43,1299992203712;882,98
MICO SPORT SPA;PR00340019;;;0;102,14
NASTRIFICIO ZINGONIA SRL;;;KG;478,13000869751;-3566,4
NASTRIFICIO ZINGONIA SRL;;;NR;;841,09
NASTRIFICIO ZINGONIA SRL;;;;0;0
NASTRIFICIO ZINGONIA SRL;PF00360156T0X661036;156/1 TACTEL RIT PA 66 - ORO;KG;238,769998311996;4297,86
NASTRIFICIO ZINGONIA SRL;PF0036040/20I661004;40/2 ELAS INT. PA 66 - NERO;KG;53,9200005531311;754,88
NASTRIFICIO ZINGONIA SRL;PF0036070/20IP61184;70/2 ELAS INT. PA 6 - BLU PIC;KG;318,460000991821;3216,3
NASTRIFICIO ZINGONIA SRL;PF0036070/20IP61185;70/2 ELAS INT. PA 6 - ROSSO PIC;KG;160,129999637604;1616,74
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661001;70/2 ELAS RIT PA 66 - CANDIDO;KG;289,309999465942;3709,71
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661004;70/2 ELAS RIT PA 66 - NERO;KG;244,14999961853;3060,2
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661005;70/2 ELAS RIT PA 66 - GRIGIO MEDIO;KG;302,630001068115;3797,99
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661015;70/2 ELAS RIT PA 66 - GRIGIO SCURO BRIKO;KG;466,280000209808;5943,36
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661023;70/2 ELAS RIT PA 66 - BLU CATANZARO;KG;420,159997582436;4285,63
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661024;70/2 ELAS RIT PA 66 - GRIGIO PERLA;KG;443,390001296997;5629,38
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661042;70/2 ELAS RIT PA 66 - TIRRENO;KG;86,0200004577637;1083,85
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661047;70/2 ELAS RIT PA 66 - GRIGIO UOMO;KG;613,96000123024;7136,64
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661051;70/2 ELAS RIT PA 66 - BLUETTE BRIKO;KG;91,2299995422363;1094,76
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661065;70/2 ELAS RIT PA 66 - ROSSO SANGUE;KG;84,2199995517731;1061,18
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661067;70/2 ELAS RIT PA 66 - GRIGIO MISSONI;KG;92,1000008583069;1160,45
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661074;70/2 ELAS RIT PA 66 - BLU NOTTE;KG;68,3800005912781;854,77
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661077;70/2 ELAS RIT PA 66 - BLU YAM;KG;142,709999084473;1748,97
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661101;70/2 ELAS RIT PA 66 - BLUETTE UOMO;KG;104,019999504089;1061
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661107;70/2 ELAS RIT PA 66 - AVIO SCURO BRIKO;KG;172,169999659061;1756,14
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661110;70/2 ELAS RIT PA 66 - AZZURRO SPY;KG;68,4200000762939;697,88
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661116;70/2 ELAS RIT PA 66 - AVIO SCURO QUARENGHI;KG;94,0600004196167;1175,77
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661138;70/2 ELAS RIT PA 66 - GREGGIO;KG;597,979995727539;5429,77
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661181;70/2 ELAS RIT PA 66 - GRIGIO NOIR;KG;227,740000247955;2824,59
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661223;70/2 ELAS RIT PA 66 - LIGHT BLU PORTOGALLO;KG;91,7400002479553;1100,88
NASTRIFICIO ZINGONIA SRL;PF0036070/20X661244;70/2 ELAS RIT PA 66 - GRIGIO CHEVRO;KG;82,1700008511543;1133,54
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1001;70/2 ELAS RIT FLEXY PA 6 - CANDIDO;KG;152,130001068115;1855,99
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1002;70/2 ELAS RIT FLEXY PA 6 - BLU RANGER;KG;148,760001420975;1814,88
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1004;70/2 ELAS RIT FLEXY PA 6 - NERO;KG;146,640002250671;1789,02
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1005;70/2 ELAS RIT FLEXY PA 6 - GRIGIO MEDIO;KG;149,839998245239;1828,05
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1015;70/2 ELAS RIT FLEXY PA 6 - GRIGIO SCURO BRIKO;KG;290,670001029968;3546,15
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1047;70/2 ELAS RIT FLEXY PA 6 - GRIGIO UOMO;KG;140,680001497269;1716,27
NASTRIFICIO ZINGONIA SRL;PF0036070/20XFL1090;70/2 ELAS RIT FLEXY PA 6 - NEUTRAL GREY;KG;143,009999752045;1744,72
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61004;70/2 ELAS RIT PA 6 - NERO;KG;165,109998703003;1840,19
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61015;70/2 ELAS RIT PA 6 - GRIGIO SCURO BRIKO;KG;98,3800008296967;1082,18
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61023;70/2 ELAS RIT PA 6 - BLU CATANZARO;KG;713,070004165173;8055,23
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61024;70/2 ELAS RIT PA 6 - GRIGIO PERLA;KG;97,1800003051758;1068,98
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61047;70/2 ELAS RIT PA 6 - GRIGIO UOMO;KG;437,339999079704;4868,48
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61065;70/2 ELAS RIT PA 6 - ROSSO SANGUE;KG;324,009998679161;3564,11
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61074;70/2 ELAS RIT PA 6 - BLU NOTTE;KG;538,500002145767;6132,63
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61077;70/2 ELAS RIT PA 6 - BLU YAM;KG;226,980001449585;2555,84
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61106;70/2 ELAS RIT PA 6 - AZZURRO 6;KG;116,719998598099;1342,32
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61189;70/2 ELAS RIT PA 6 - DEEP RED G378;KG;116,029999256134;1334,37
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61242;70/2 ELAS RIT PA 6 - PANNA A CAMPIONE;KG;2,14999997615814;23,65
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61243;70/2 ELAS RIT PA 6 - BIANCO A CAMPIONE;KG;0,769999980926514;8,47
NASTRIFICIO ZINGONIA SRL;PF0036070/20XP61245;70/2 ELAS RIT PA 6 - BORDEAUX A CAMPIONE;KG;1,89999997615814;30
NASTRIFICIO ZINGONIA SRL;PF0036070/40I661004;70/4 ELAS INT. PA 66 - NERO;KG;1083,53000378609;12212,25
NASTRIFICIO ZINGONIA SRL;PF0036160360XL61138;160/36 LUCIDO RIT PARALL LUCIDO PA 6 - GREGGIO;KG;3,62999999523163;45,29
NASTRIFICIO ZINGONIA SRL;PF0036406400INY1140;SPLENDOR DTEX 78/2 NY66 INTERL. - MELANGE ADM;KG;322,370000362396;4174,72
NASTRIFICIO ZINGONIA SRL;PF0036781820ITP1151;78/18X2 INT. PA6 TINTO PASTA - NERO T.P.;KG;1053,82999992371;6533,75
NASTRIFICIO ZINGONIA SRL;PF0036NY6NY0IP61062;SPLENDOR DTEX 78/2 NY 6 INT - GRIGIO MEDIO MELANGE;KG;148,409998893738;2522,97
REMMERT SPA;;;KG;100;-1700
REMMERT SPA;;;1;;39,5
REMMERT SPA;;;;0;0
REMMERT SPA;PF00370156T0X661013;156/1 TACTEL RIT PA 66 - BIANCO;KG;48,1699995994568;963,4
REMMERT SPA;PF0037070/10X661005;70/1 ELAS RIT PA 66 - NERO;KG;2,09999990463257;60
REMMERT SPA;PF0037070/10X661006;70/1 ELAS RIT PA 66 - CANDIDO;KG;1,04999995231628;30
REMMERT SPA;PF0037070/20IP61133;70/2 ELAS INT. PA 6 - GREGGIO;KG;1394,35000228882;10797,4
